codigo;descripcion;capitulo;seccion;uEspecialista;uAyudantes;uAnestesista;cantidadAyudantes;total;notas
01.03.02;TRATAMIENTO QUIRURGICO DE LAS LESIONES ADQUIRIDAS DEL C;01;;372.75;74.25;;2;45530.6;02
01.03.03;EXTIRPACION O LIGADURA DE ANEURISMAS O MALFORMACIONES A;01;;956.25;191.25;;2;88550.3;02
01.03.04;CORDOTOMIA ESPINOTALAMICA. CORDOTOMIA ANTEROLATERAL, MI;01;;531.75;106.5;;2;57301;02
01.03.05;RIZOTOMIA, RADICOTOMIA POSTERIOR.;01;;372.75;74.25;;2;45741.6;02
01.03.06;SECCION DE LIGAMENTOS DENTADOS.;01;;372.75;74.25;;2;45741.6;02
01.03.07;PUNCION RAQUIDEA DOBLE CON PRUEBAS MANOMETRICAS.;01;;26.25;;;;1726.97;02
01.03.08;PUNCION CISTERNAL CON O SIN MANOMETRIA.;01;;39.75;;;;2425.19;02
01.03.09;PUNCION LUMBAR CON O SIN MANOMETRIA.;01;;7;;;;369.32;02
01.03.10;Vertebroplastias;01;;1;;;;1.04;11
01.04.01;NEUROTOMIA O DESCOMPRESION RETROGASERIANA TRIGEMINAL. P;01;;531.75;106.5;;2;57301;02
01.04.02;NEUROLISIS TRANSOVAL DEL TRIGEMINO.;01;;119.25;;;;6536.93;02
01.04.03;NEUROTOMIA DEL INTERMEDIARIO, VESTIBULAR O GLOSOFARINGE;01;;531.75;106.5;;2;53344;02
01.04.04;INTERVENCIONES SOBRE NERVIOS OPTICOS.;01;;797.25;159.75;;2;72161.8;02
01.04.05;NEUROTOMIA DEL SUPRAORBITARIO, INFRAORBITARIO, DENTARIO;01;;101.25;30;;1;13330.5;02
01.04.06;NEUROTOMIA SELECTIVA DEL FACIAL O DEL GLOSOFARINGEO O N;01;;119.25;30;;1;21806.1;02
01.04.07;INJERTO Y/O ANASTOMOSIS DE NERVIO FACIAL, HIPOGLOSO, ES;01;;252.75;51;;2;32381.8;02
01.04.08;NEUROLISIS EXTRACRANEAL. ALCOHOLIZACION O SIMILAR.;01;;26.25;;;;10221.3;02
01.04.09;BLOQUEO EXTRACRANEAL ANTIALGICO.;01;;7;;;;1.05;02
01.05.01;TRATAMIENTO QUIRURGICO (EXPLORACION, NEURORRAFIA, ESCI;01;;252.75;51;;2;32645.6;02
01.05.02;TRATAMIENTO QUIRURGICO (EXPLORACION, NEURORRAFIA, ESCI;01;;303;61.5;;2;36330.7;02
01.05.03;NEURORRAFIA, INJERTO, TUBULIZACION, ESCISION DE LESION;01;;201.75;39.75;;2;28580.4;02
01.05.04;TRANSPOSICION DEL CUBITAL.;01;;119.25;30;;1;17057.7;02
01.05.05;DESCOMPRESION DEL MEDIANO A NIVEL DEL TUNEL CARPIANO (S;01;;80.25;30;;1;12244.4;02
01.05.06;ESCISION DE LESION TUMORAL DE NERVIO PERIFERICO (NEURON;01;;61.5;30;;1;14387.5;02
01.05.07;NEUROLISIS QUIRURGICA DE NERVIO PERIFERICO.;01;;39.75;30;;1;13209.8;02
01.05.08;NEUROLISIS QUIMICA O BLOQUE ANTIALGICO DE NERVIO PERIFE;01;;7;;;;1.06;02
01.06.01;SIMPATECTOMIA CERVICAL.;01;;119.25;30;;1;21753.4;02
01.06.02;SIMPATECTOMIA TORACICA.;01;;252.75;51;;2;32434.6;02
01.06.03;SIMPATECTOMIA LUMBAR (POR LUMBOTOMIA).;01;;201.75;39.75;;2;28633.2;02
01.06.04;RESECCION DE PLEXOS HIPOGASTRICOS SUPERIOR O INFERIOR.;01;;252.75;51;;2;29691.1;02
01.06.05;SIMPATECTOMIA PERIARTERIAL CAROTIDEA, HUMERAL, FEMORAL;01;;101.25;30;;1;20822.4;02
01.06.06;INYECCION PARAVERTEBRAL DE TRONCOS Y GANGLIOS SIMPATICO;01;;7;;;;369.32;02
01.06.07;Simpaticectomia por videoscopia;01;;1;;;;1.07;11
01.07.01;VENTRICULOGRAFIA POR INYECCION DE MEDIO CONTRASTE -LIQ;01;;80.25;30;;1;15093.4;02
01.07.02;PAN-ARTERIOGRAFIA CEREBRAL POR CATETERISMO. UNI;01;;119.25;30;;1;12098.3;02
01.07.03;ARTERIOGRAFIA CAROTIDEA O VERTEBRAL. (POR DISECCION O P;01;;66;;;;7528.8;02
01.07.04;NEUMOENCEFALOVENTRICULOGRAFIA FRACCIONADA (CISTERNOGRAF;01;;66;;;;7528.8;02
01.07.05;MIELOGRAFIA ASCENDENTE O DESCENDENTE. CISTERNOGRAFIA. M;01;;66;;;;5312.88;02
01.07.06;DISCOGRAFIA. NEUROGRAFIA. EPIDUROGRAFIA.;01;;39.75;;;;3902.47;02
01.07.07;Infusion intrtecal o en canal medular de citostaticos;01;;1;;;;51.72;01
01.07.08;Tratamiento endovascular de aneurismas craneales con;01;;1;;;;51.72;01
01.07.09;Tratamiento endovascular de malformaciones craneales;01;;0.01;;;;0.52;01
01.07.10;Tratamiento endovascular de tumores craneales con embo-;01;;1;;;;51.72;01
01.07.11;Ablacion de nervio craneal por radiofrecuencia;01;;1;;;;;
01.08.01;Biopsia cerebral estereotaxica;01;;1;;;;51.72;01
01.20.20;Neurocirugía: Grupo C, nro. 21;01;;9694.55;;;;2;11
