codigo;descripcion;capitulo;seccion;uEspecialista;uAyudantes;uAnestesista;cantidadAyudantes;gastos;total;notas
01.02.10;ESCISION DE LESION TUMORAL INTRACRANEANA (NEUPLASIA BEN;01;OPERACIONES INTRACRANEANAS;744;149.25;239.25;2;366;73228.3;01,01,01,02
01.02.11;DRENAJE VENTRICULAR CONTINUO. COMO;01;OPERACIONES INTRACRANEANAS;119.25;30;80.25;1;346;25974.2;01,01,01,02
01.02.12;EXTRACCION DE TUBOS EN OPERACIONES DERIVATIVAS CRANEANA;01;OPERACIONES INTRACRANEANAS;119.25;30;80.25;1;180;17216;01,01,01,02
01.02.13;INTERVENCIONES ESTEREOTAXICAS. POR;01;OPERACIONES INTRACRANEANAS;637.5;127.5;239.25;1;358;58453.9;01,01,01,02
01.02.14;PUNCION DIAGNOSTICA O TERAPEUTICA DE VENTRICULO POR TRE;01;OPERACIONES INTRACRANEANAS;119.25;30;80.25;1;180;17216;01,01,01,02
01.02.15;PUNCION TRANSFONTANELAR DE VENTRICULOS O SUBDURAL, TERA;01;OPERACIONES INTRACRANEANAS;26.25;;;;7;1726.97;01,01,01,02
01.02.16;Colocacion de set para monitoreo de presion intracranea;01;OPERACIONES INTRACRANEANAS;;1;;1;;51.72;11,01
01.02.17;Cirugia de la hipertension congenita endocraneana por;01;OPERACIONES INTRACRANEANAS;;1;;1;;51.72;01
01.03.01;REPARACION DE DEFECTOS CONGENITOS DEL COMPLEJO VERTEBRO;01;CIRUGIA VERTEBROMEDULAR;478.5;95.25;186;2;352;53172.2;01,01,01,02
01.03.02;TRATAMIENTO QUIRURGICO DE LAS LESIONES ADQUIRIDAS DEL C;01;CIRUGIA VERTEBROMEDULAR;372.75;74.25;159.75;2;352;45530.6;01,01,01,02
01.03.03;EXTIRPACION O LIGADURA DE ANEURISMAS O MALFORMACIONES A;01;CIRUGIA VERTEBROMEDULAR;956.25;191.25;239.25;2;366;88550.3;01,01,01,02
01.03.04;CORDOTOMIA ESPINOTALAMICA. CORDOTOMIA ANTEROLATERAL, MI;01;CIRUGIA VERTEBROMEDULAR;531.75;106.5;159.75;2;356;57301;01,01,01,02
01.03.05;RIZOTOMIA, RADICOTOMIA POSTERIOR.;01;CIRUGIA VERTEBROMEDULAR;372.75;74.25;159.75;2;356;45741.6;01,01,01,02
01.03.06;SECCION DE LIGAMENTOS DENTADOS.;01;CIRUGIA VERTEBROMEDULAR;372.75;74.25;159.75;2;356;45741.6;01,01,01,02
01.03.07;PUNCION RAQUIDEA DOBLE CON PRUEBAS MANOMETRICAS.;01;CIRUGIA VERTEBROMEDULAR;26.25;;;;7;1726.97;01,01,01,02
01.03.08;PUNCION CISTERNAL CON O SIN MANOMETRIA.;01;CIRUGIA VERTEBROMEDULAR;39.75;;;;7;2425.19;01,01,01,02
01.03.09;PUNCION LUMBAR CON O SIN MANOMETRIA.;01;CIRUGIA VERTEBROMEDULAR;;;;;7;369.32;01,01,01,02
01.03.10;Vertebroplastias;01;CIRUGIA VERTEBROMEDULAR;;1;;1;;9.86;11
01.04.01;NEUROTOMIA O DESCOMPRESION RETROGASERIANA TRIGEMINAL. P;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;531.75;106.5;186;2;356;57301;01,01,01,02
01.04.02;NEUROLISIS TRANSOVAL DEL TRIGEMINO.;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;119.25;;;;7;6536.93;01,01,01,02
01.04.03;NEUROTOMIA DEL INTERMEDIARIO, VESTIBULAR O GLOSOFARINGE;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;531.75;106.5;186;2;281;53344;01,01,01,02
01.04.04;INTERVENCIONES SOBRE NERVIOS OPTICOS.;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;797.25;159.75;239.25;2;273;72161.8;01,01,01,02
01.04.05;NEUROTOMIA DEL SUPRAORBITARIO, INFRAORBITARIO, DENTARIO;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;101.25;30;80.25;1;124;13330.5;01,01,01,02
01.04.06;NEUROTOMIA SELECTIVA DEL FACIAL O DEL GLOSOFARINGEO O N;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;119.25;30;80.25;1;267;21806.1;01,01,01,02
01.04.07;INJERTO Y/O ANASTOMOSIS DE NERVIO FACIAL, HIPOGLOSO, ES;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;252.75;51;104.25;2;266;32381.8;01,01,01,02
01.04.08;NEUROLISIS EXTRACRANEAL. ALCOHOLIZACION O SIMILAR.;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;26.25;;;;168;10221.3;01,01,01,02
01.04.09;BLOQUEO EXTRACRANEAL ANTIALGICO.;01;INTERVENCIONES SOBRE LOS PARES CRANEALES;;;;;7;369.32;01,01,01,02
01.05.01;TRATAMIENTO QUIRURGICO (EXPLORACION, NEURORRAFIA, ESCI;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;252.75;51;104.25;2;271;32645.6;01,01,01,02
01.05.02;TRATAMIENTO QUIRURGICO (EXPLORACION, NEURORRAFIA, ESCI;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;303;61.5;127.5;2;271;36330.7;01,01,01,02
01.05.03;NEURORRAFIA, INJERTO, TUBULIZACION, ESCISION DE LESION;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;201.75;39.75;87;2;266;28580.4;01,01,01,02
01.05.04;TRANSPOSICION DEL CUBITAL.;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;119.25;30;80.25;1;177;17057.7;01,01,01,02
01.05.05;DESCOMPRESION DEL MEDIANO A NIVEL DEL TUNEL CARPIANO (S;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;80.25;30;80.25;1;124;12244.4;01,01,01,02
01.05.06;ESCISION DE LESION TUMORAL DE NERVIO PERIFERICO (NEURON;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;61.5;30;80.25;1;183;14387.5;01,01,01,02
01.05.07;NEUROLISIS QUIRURGICA DE NERVIO PERIFERICO.;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;39.75;30;80.25;1;182;13209.8;01,01,01,02
01.05.08;NEUROLISIS QUIMICA O BLOQUE ANTIALGICO DE NERVIO PERIFE;01;INTERVENCIONES SOBRE LOS NERVIOS PERIFERICOS;;;;;7;369.32;01,01,01,02
01.06.01;SIMPATECTOMIA CERVICAL.;01;OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO;119.25;30;80.25;1;266;21753.4;01,01,01,02
01.06.02;SIMPATECTOMIA TORACICA.;01;OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO;252.75;51;127.5;2;267;32434.6;01,01,01,02
01.06.03;SIMPATECTOMIA LUMBAR (POR LUMBOTOMIA).;01;OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO;201.75;39.75;87;2;267;28633.2;01,01,01,02
